date,hospital_id,hospital_name,region,bed_capacity,beds_occupied,beds_available,icu_beds_total,icu_beds_occupied,ventilators_total,ventilators_in_use,ventilators_available,patient_admissions,patient_discharges,emergency_visits,surgery_count,avg_wait_time_minutes,doctors_total,doctors_available,nurses_total,nurses_available,paramedics_total,paramedics_available,staff_overtime_hours,staff_sick_leave,supply_masks,supply_gloves,supply_sanitizer,supply_medicines_stock_level,equipment_xray_functional,equipment_ct_scan_functional,equipment_mri_functional,ambulances_total,ambulances_available,transport_cost_per_km,avg_patient_satisfaction,burnout_risk_score,covid_cases,flu_cases,other_infectious_cases,location
2024-10-22,H001,City General Hospital,North,500,445,55,50,47,30,28,2,95,82,140,20,55,80,60,200,140,50,37,510,18,4600,7600,460,80,3,2,1,10,7,2.5,4.0,high,20,12,5,"40.7580,-73.9855"
2024-10-22,H002,Regional Medical Center,South,300,295,5,30,30,20,20,0,72,62,110,14,80,50,42,120,98,30,25,450,12,2600,4600,260,62,2,1,1,6,4,3.0,3.5,critical,28,18,7,"40.7489,-73.9680"
2024-10-22,H003,Community Health Center,East,150,125,25,15,13,10,9,1,50,46,70,10,38,25,18,60,46,15,10,220,7,1800,2800,180,86,1,0,0,4,2,2.0,4.3,medium,12,7,4,"40.7614,-73.9776"
2024-10-22,H004,Metropolitan Hospital,West,400,365,35,40,38,25,24,1,82,74,125,16,58,70,52,150,112,40,32,470,13,4100,6600,410,76,3,2,1,8,6,2.8,3.8,high,22,14,6,"40.7505,-73.9934"
2024-10-22,H005,District Hospital,Central,250,215,35,25,23,15,15,0,60,54,88,12,48,40,32,100,80,25,18,360,9,2300,3800,230,71,2,1,0,5,3,2.2,4.1,high,16,9,5,"40.7690,-73.9712"
2024-10-23,H001,City General Hospital,North,500,440,60,50,46,30,27,3,90,85,138,19,52,80,61,200,142,50,38,495,16,4700,7700,470,81,3,2,1,10,8,2.5,4.1,high,19,11,4,"40.7580,-73.9855"
2024-10-23,H002,Regional Medical Center,South,300,292,8,30,29,20,19,1,71,63,108,13,78,50,43,120,99,30,26,440,11,2700,4700,270,63,2,1,1,6,5,3.0,3.6,critical,27,17,6,"40.7489,-73.9680"
2024-10-23,H003,Community Health Center,East,150,122,28,15,12,10,8,2,49,47,68,9,36,25,19,60,47,15,11,210,6,1850,2850,185,87,1,0,0,4,3,2.0,4.4,medium,11,6,3,"40.7614,-73.9776"
2024-10-23,H004,Metropolitan Hospital,West,400,362,38,40,37,25,23,2,81,73,122,15,56,70,53,150,114,40,33,460,12,4200,6700,420,77,3,2,1,8,7,2.8,3.9,medium,21,13,5,"40.7505,-73.9934"
2024-10-23,H005,District Hospital,Central,250,212,38,25,22,15,14,1,59,53,86,11,46,40,33,100,81,25,19,350,8,2350,3850,235,72,2,1,0,5,4,2.2,4.2,high,15,8,4,"40.7690,-73.9712"
2024-10-24,H001,City General Hospital,North,500,438,62,50,45,30,26,4,88,86,136,18,50,80,62,200,143,50,39,485,15,4750,7750,475,82,3,2,1,10,8,2.5,4.2,high,18,10,4,"40.7580,-73.9855"
2024-10-24,H002,Regional Medical Center,South,300,288,12,30,28,20,18,2,69,64,106,12,76,50,44,120,101,30,27,430,10,2750,4750,275,64,2,1,1,6,5,3.0,3.7,critical,26,16,6,"40.7489,-73.9680"
2024-10-24,H003,Community Health Center,East,150,118,32,15,11,10,7,3,47,48,66,9,34,25,20,60,48,15,12,200,5,1900,2900,190,88,1,0,0,4,3,2.0,4.5,medium,10,6,3,"40.7614,-73.9776"
2024-10-24,H004,Metropolitan Hospital,West,400,358,42,40,36,25,22,3,79,75,120,15,54,70,54,150,116,40,34,450,11,4250,6750,425,78,3,2,1,8,7,2.8,4.0,medium,20,12,5,"40.7505,-73.9934"
2024-10-24,H005,District Hospital,Central,250,208,42,25,21,15,13,2,57,55,84,11,44,40,34,100,82,25,20,340,8,2400,3900,240,73,2,1,0,5,4,2.2,4.3,high,14,8,4,"40.7690,-73.9712"
2024-10-25,H001,City General Hospital,North,500,432,68,50,44,30,25,5,86,88,134,17,48,80,63,200,145,50,40,475,14,4800,7800,480,83,3,2,1,10,8,2.5,4.2,medium,17,9,3,"40.7580,-73.9855"
2024-10-25,H002,Regional Medical Center,South,300,285,15,30,27,20,17,3,68,65,104,12,74,50,45,120,103,30,28,420,9,2800,4800,280,65,2,1,1,6,5,3.0,3.8,critical,25,15,5,"40.7489,-73.9680"
2024-10-25,H003,Community Health Center,East,150,115,35,15,10,10,6,4,46,49,64,8,32,25,21,60,50,15,13,190,5,1950,2950,195,89,1,0,0,4,3,2.0,4.5,low,9,5,2,"40.7614,-73.9776"
2024-10-25,H004,Metropolitan Hospital,West,400,355,45,40,35,25,21,4,78,76,118,14,52,70,55,150,118,40,35,440,10,4300,6800,430,79,3,2,1,8,7,2.8,4.0,medium,19,11,4,"40.7505,-73.9934"
2024-10-25,H005,District Hospital,Central,250,205,45,25,20,15,12,3,56,56,82,10,42,40,35,100,84,25,21,330,7,2450,3950,245,74,2,1,0,5,4,2.2,4.3,medium,13,7,3,"40.7690,-73.9712"
2024-10-26,H001,City General Hospital,North,500,428,72,50,43,30,24,6,84,90,132,16,46,80,65,200,150,50,40,465,13,4850,7850,485,84,3,2,1,10,8,2.5,4.3,medium,16,8,3,"40.7580,-73.9855"
2024-10-26,H002,Regional Medical Center,South,300,282,18,30,26,20,16,4,67,66,102,11,72,50,48,120,110,30,28,410,8,2850,4850,285,66,2,1,1,6,6,3.0,3.9,high,24,14,5,"40.7489,-73.9680"
2024-10-26,H003,Community Health Center,East,150,112,38,15,9,10,5,5,45,50,62,8,30,25,22,60,52,15,13,180,4,2000,3000,200,90,1,0,0,4,4,2.0,4.6,low,8,4,2,"40.7614,-73.9776"
2024-10-26,H004,Metropolitan Hospital,West,400,352,48,40,34,25,20,5,77,77,116,14,50,70,58,150,125,40,37,430,9,4350,6850,435,80,3,2,1,8,8,2.8,4.1,low,18,10,4,"40.7505,-73.9934"
2024-10-26,H005,District Hospital,Central,250,202,48,25,19,15,11,4,55,57,80,10,40,40,36,100,88,25,22,320,6,2500,4000,250,75,2,1,0,5,5,2.2,4.4,medium,12,6,3,"40.7690,-73.9712"
